SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
384575,0,Cash loans,M,Y,N,2,207000,465457.5,52641,418500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.00963,-13297,-762,-637,-4307,19,1,1,0,1,0,0,Sales staff,4,2,2,THURSDAY,11,0,0,0,0,1,1,Business Entity Type 3,0.675878069,0.604894338,0.000527265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
214010,0,Cash loans,F,Y,Y,0,247500,1281712.5,48946.5,1179000,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.006852,-14778,-1141,-1610,-4546,11,1,1,0,1,0,1,Managers,1,3,3,THURSDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.430827068,0.425350522,0.712155155,0.0753,0.0568,0.997,0.9592,0.1326,0.08,0.0517,0.4167,0.2917,0.0735,0.0601,0.0844,0.0058,0.1118,0.0756,0.0566,0.994,0.9216,0.0523,0.0806,0.0345,0.3333,0.0417,0.0445,0.0652,0.0857,0,0,0.076,0.0568,0.997,0.9597,0.1335,0.08,0.0517,0.4167,0.2917,0.0748,0.0611,0.0859,0.0058,0.1142,reg oper account,block of flats,0.0754,Monolithic,No,2,0,2,0,-1071,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
142232,0,Cash loans,F,Y,N,0,202500,495000,39109.5,495000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-17907,-639,-2507,-1461,4,1,1,1,1,0,0,Sales staff,2,2,2,TUESDAY,16,0,0,0,0,0,0,Self-employed,0.527239088,0.531759997,0.207964174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,-1435,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
389171,0,Cash loans,F,N,Y,0,247500,254700,24939,225000,Unaccompanied,State servant,Secondary / secondary special,Widow,House / apartment,0.04622,-19626,-6982,-11167,-3158,,1,1,0,1,0,0,High skill tech staff,1,1,1,FRIDAY,14,0,0,0,0,0,0,Business Entity Type 3,,0.693520627,0.614414378,0.132,0.0645,0.9846,,,0.16,0.069,0.625,,,,0.1628,,0.0022,0.1345,0.067,0.9846,,,0.1611,0.069,0.625,,,,0.1696,,0.0023,0.1332,0.0645,0.9846,,,0.16,0.069,0.625,,,,0.1657,,0.0022,,,0.1285,Panel,No,0,0,0,0,-2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283617,0,Cash loans,M,N,Y,0,112500,308133,15862.5,234000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.01885,-20327,-1105,-7299,-494,,1,1,0,1,0,0,Laborers,1,2,2,WEDNESDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.654881504,0.560689859,0.636376171,0.0619,0.0553,0.9717,,,0,0.1724,0.1667,,0.0866,,0.0749,,0.0149,0.063,0.0574,0.9717,,,0,0.1724,0.1667,,0.0885,,0.078,,0.0158,0.0625,0.0553,0.9717,,,0,0.1724,0.1667,,0.0881,,0.0762,,0.0152,,block of flats,0.0765,"Stone, brick",No,0,0,0,0,-173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
362171,0,Cash loans,M,N,Y,0,85500,152820,16456.5,135000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.006629,-19130,365243,-8549,-959,,1,0,0,1,1,0,,2,2,2,THURSDAY,6,0,0,0,0,0,0,XNA,,0.51912668,0.104794623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,-1011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180689,0,Cash loans,F,N,N,1,112500,900000,24750,900000,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.015221,-15722,-345,-492,-4672,,1,1,0,1,1,0,,3,2,2,WEDNESDAY,12,0,0,0,1,0,1,Business Entity Type 3,0.714066933,0.547962635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
310328,0,Cash loans,M,Y,Y,0,141606,810000,33120,810000,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.018801,-10801,-260,-263,-3152,12,1,1,1,1,0,0,Laborers,1,2,2,FRIDAY,10,0,0,0,0,0,0,Trade: type 3,,0.012587566,0.490257512,0.0825,0.088,0.9747,0.6532,0.0629,0,0.1379,0.1667,0.2083,0.0824,0.0672,0.0709,0,0,0.084,0.0913,0.9747,0.6668,0.0635,0,0.1379,0.1667,0.2083,0.0843,0.0735,0.0739,0,0,0.0833,0.088,0.9747,0.6578,0.0633,0,0.1379,0.1667,0.2083,0.0838,0.0684,0.0722,0,0,reg oper account,block of flats,0.0901,Panel,No,5,0,5,0,-222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233043,0,Cash loans,F,N,Y,0,130500,781920,34443,675000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0228,-23516,365243,-1663,-4763,,1,0,0,1,0,0,,2,2,2,SATURDAY,8,0,0,0,0,0,0,XNA,,0.077534911,0.633031641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
232220,0,Cash loans,F,N,Y,1,99000,900000,35824.5,900000,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.026392,-8755,-649,-8733,-1436,,1,1,0,1,0,0,Laborers,2,2,2,WEDNESDAY,14,0,0,0,0,0,0,Trade: type 7,,0.740081697,,0.0804,0.0609,0.9762,,,0,0.1379,0.1667,,0.0697,,0.0608,,0,0.0819,0.0632,0.9762,,,0,0.1379,0.1667,,0.0712,,0.0634,,0,0.0812,0.0609,0.9762,,,0,0.1379,0.1667,,0.0709,,0.0619,,0,,block of flats,0.0478,"Stone, brick",No,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
